,Unnamed: 0,Rk,Player,Nation,Pos,Squad,Age,90 Mins,Goals,Shots,Shots_on_targ,Expected_goals,Age_Group,Physical_Category
362,362,350,Gonzalo Montiel,ARG,DF,Nott'ham Forest,27.0,5.6,0.0,2.0,0.0,0.1,26-39 (Older),Less Physical
364,364,351,Kieffer Moore,WAL,"FW,MF",Bournemouth,31.0,1.2,1.0,6.0,2.0,1.5,26-39 (Older),Less Physical
365,365,352,Álex Moreno,ESP,DF,Aston Villa,30.0,11.3,2.0,8.0,4.0,1.1,26-39 (Older),Less Physical
366,366,353,Carlton Morris,ENG,"FW,MF",Luton Town,28.0,25.8,9.0,56.0,21.0,9.4,26-39 (Older),Less Physical
367,367,354,Mason Mount,ENG,"MF,FW",Manchester Utd,25.0,4.7,1.0,4.0,1.0,0.3,17-25 (Younger),More Physical
368,368,355,Divin Mubama,ENG,FW,West Ham,19.0,0.9,0.0,1.0,0.0,0.1,17-25 (Younger),More Physical
369,369,356,Mykhailo Mudryk,UKR,"FW,MF",Chelsea,23.0,12.0,4.0,24.0,7.0,3.3,17-25 (Younger),More Physical
370,370,357,Rodrigo Muniz,BRA,FW,Fulham,22.0,13.3,8.0,58.0,18.0,6.5,17-25 (Younger),More Physical
371,371,358,Daniel Muñoz,COL,"DF,MF",Crystal Palace,27.0,9.0,0.0,4.0,0.0,0.8,26-39 (Older),Less Physical
372,372,359,Arijanet Muric,KVX,GK,Burnley,25.0,4.0,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
373,373,360,Murillo,BRA,DF,Nott'ham Forest,21.0,25.2,0.0,14.0,5.0,1.2,17-25 (Younger),More Physical
